FILIERE;FILIERE (AR);DEPARTEMENT;DIPLOME;CODE;LANGUE;COD_MEN;CODE STAT;GUICHET
DROIT EN LANGUE ARABE;«·ﬁ«‰Ê‰ »«··€… «·⁄—»Ì…;DROIT PUBLIC ARABE;LICENCE D'ETUDES FONDAMENTALES;DEA;FR;177523V;CS14578;DROIT EN LANGUE ARABE
DROIT EN LANGUE FRANCAISE;«·ﬁ«‰Ê‰ »«··€… «·›—‰”Ì…;DROIT PRIVE FRANCAIS;LICENCE D'ETUDES FONDAMENTALES;DEF;FR;121112E;CS145745;DROIT EN LANGUE FRANCAISE
SCIENCES ECONOMIQUES ET GESTION;«·⁄·Ê„ «·«ﬁ ’«œÌ… Ê«· œ»Ì—;ECONOMIE ET GESTION;LICENCE D'ETUDES FONDAMENTALES;SEG;FR;182115L;CS1457547H;SCIENCES ECONOMIQUES ET GESTION
DROIT INTERNATIONAL DES AFFAIRES;«·ﬁ«‰Ê‰ «·œÊ·Ì ··√⁄„«·;DROIT PRIVE ARABE;MASTER;DIA;FR;DIA;DIA1;MASTER
MODES ALTERNATIFS DE REGLEMENT DES LITIGES;«·Ê”«∆· «·»œÌ·… ·›÷ «·‰“«⁄« ;DROIT PRIVE ARABE;MASTER;MAD;FR;MAD;MAC1;MASTER
JUSTICE PENALE ET SCIENCES CRIMINELLES;«·⁄œ«·… «·Ã‰«∆Ì… Ê«·⁄·Ê„ «·Ã‰«∆Ì…;DROIT PRIVE ARABE;MASTER;JSP;FR;JSP;JPS1;MASTER
FINANCE PARTICIPATIVE;«·„«·Ì… «· ‘«—ﬂÌ…;DROIT PRIVE ARABE;MASTER;FPA;FR;FPA;FP1;MASTER
CONTENTIEUX DES AFFAIRES ;„‰«“⁄«  «·«⁄„«·;DROIT PRIVE ARABE;MASTER;LCA;FR;LCA;MCA1;MASTER
JURISTE D'AFFAIRES;ﬁ«‰Ê‰Ì «·√⁄„«·;DROIT PRIVE FRANCAIS;MASTER;JAF;FR;JAF;JA1;MASTER
DROIT PRIVE ET SCIENCES CRIMINELLES;«·ﬁ«‰Ê‰ «·Œ«’ Ê «·⁄·Ê„ «·Ã‰«∆Ì…;DROIT PRIVE FRANCAIS;MASTER;DPC;FR;DPC;DPC1;MASTER
