MENTION;MENTION (AR);CODE;SEMESTRE;SESSION;FILIERE;VERSION;CODE ETUDES
DROIT DES AFFAIRES;;AFA;SEMESTRE 5;AUTOMNE;DROIT EN LANGUE ARABE;VERSION 14;LFV14DEAAFAAS5
DROIT DES AFFAIRES;;AFA;SEMESTRE 6;PRINTEMPS;DROIT EN LANGUE ARABE;VERSION 14;LFV14DEAAFAPS6
DROIT DES AFFAIRES;;AFF;SEMESTRE 5;AUTOMNE;DROIT EN LANGUE FRANCAISE;VERSION 14;LFV14DEFAFFAS5
DROIT DES AFFAIRES;;AFF;SEMESTRE 6;PRINTEMPS;DROIT EN LANGUE FRANCAISE;VERSION 14;LFV14DEFAFFPS6
TRONC COMMUN;;TC;SEMESTRE 1;AUTOMNE;DROIT EN LANGUE ARABE;VERSION 14;LFV14DEATCAS1
TRONC COMMUN;;TC;SEMESTRE 2;PRINTEMPS;DROIT EN LANGUE ARABE;VERSION 14;LFV14DEATCPS2
TRONC COMMUN;;TC;SEMESTRE 3;AUTOMNE;DROIT EN LANGUE ARABE;VERSION 14;LFV14DEATCAS3
TRONC COMMUN;;TC;SEMESTRE 4;PRINTEMPS;DROIT EN LANGUE ARABE;VERSION 14;LFV14DEATCPS4
TRONC COMMUN;;TC;SEMESTRE 1;AUTOMNE;DROIT EN LANGUE FRANCAISE;VERSION 14;LFV14DEFTCAS1
TRONC COMMUN;;TC;SEMESTRE 2;PRINTEMPS;DROIT EN LANGUE FRANCAISE;VERSION 14;LFV14DEFTCPS2
TRONC COMMUN;;TC;SEMESTRE 3;AUTOMNE;DROIT EN LANGUE FRANCAISE;VERSION 14;LFV14DEFTCAS3
TRONC COMMUN;;TC;SEMESTRE 4;PRINTEMPS;DROIT EN LANGUE FRANCAISE;VERSION 14;LFV14DEFTCPS4
ECONOMIE;«·«ﬁ ’«œ ;ECO;SEMESTRE 5;AUTOMNE;SCIENCES ECONOMIQUES ET GESTION;VERSION 14;LFV14SEGECOAS5
ECONOMIE;«·«ﬁ ’«œ;ECO;SEMESTRE 6;PRINTEMPS;SCIENCES ECONOMIQUES ET GESTION;VERSION 14;LFV14SEGECOPS6
ECONOMIE ET GESTION;;EEG;SEMESTRE 5;AUTOMNE;SCIENCES ECONOMIQUES ET GESTION;VERSION 14;LFV14SEGEEGAS5
ECONOMIE ET GESTION;;EEG;SEMESTRE 6;PRINTEMPS;SCIENCES ECONOMIQUES ET GESTION;VERSION 14;LFV14SEGEEGPS6
GESTION;«· œ»Ì—;GES;SEMESTRE 5;AUTOMNE;SCIENCES ECONOMIQUES ET GESTION;VERSION 14;LFV14SEGGESAS5
GESTION;«· œ»Ì—;GES;SEMESTRE 6;PRINTEMPS;SCIENCES ECONOMIQUES ET GESTION;VERSION 14;LFV14SEGGESPS6
DROIT PRIVE;;PRA;SEMESTRE 5;AUTOMNE;DROIT EN LANGUE ARABE;VERSION 14;LFV14DEAPRAAS5
DROIT PRIVE;;PRA;SEMESTRE 6;PRINTEMPS;DROIT EN LANGUE ARABE;VERSION 14;LFV14DEAPRAPS6
DROIT PRIVE;;PRF;SEMESTRE 5;AUTOMNE;DROIT EN LANGUE FRANCAISE;VERSION 14;LFV14DEFPRFAS5
DROIT PRIVE;;PRF;SEMESTRE 6;PRINTEMPS;DROIT EN LANGUE FRANCAISE;VERSION 14;LFV14DEFPRFPS6
DROIT PUBLIC;;PUA;SEMESTRE 5;AUTOMNE;DROIT EN LANGUE ARABE;VERSION 14;LFV14DEAPUAAS5
DROIT PUBLIC;;PUA;SEMESTRE 6;PRINTEMPS;DROIT EN LANGUE ARABE;VERSION 14;LFV14DEAPUAPS6
DROIT PUBLIC;;PUF;SEMESTRE 5;AUTOMNE;DROIT EN LANGUE FRANCAISE;VERSION 14;LFV14DEFPUFAS5
DROIT PUBLIC;;PUF;SEMESTRE 6;PRINTEMPS;DROIT EN LANGUE FRANCAISE;VERSION 14;LFV14DEFPUFPS6
TRONC COMMUN;;TC;SEMESTRE 1;AUTOMNE;SCIENCES ECONOMIQUES ET GESTION;VERSION 14;LFV14SEGTCAS1
TRONC COMMUN;;TC;SEMESTRE 2;PRINTEMPS;SCIENCES ECONOMIQUES ET GESTION;VERSION 14;LFV14SEGTCPS2
TRONC COMMUN;;TC;SEMESTRE 3;AUTOMNE;SCIENCES ECONOMIQUES ET GESTION;VERSION 14;LFV14SEGTCAS3
TRONC COMMUN;;TC;SEMESTRE 4;PRINTEMPS;SCIENCES ECONOMIQUES ET GESTION;VERSION 14;LFV14SEGTCPS4
DROIT DES AFFAIRES;;AFA;SEMESTRE 5;AUTOMNE;DROIT EN LANGUE ARABE;VERSION 15;LFV15DEAAFAAS5
DROIT DES AFFAIRES;;AFA;SEMESTRE 6;PRINTEMPS;DROIT EN LANGUE ARABE;VERSION 15;LFV15DEAAFAPS6
DROIT DES AFFAIRES;;AFF;SEMESTRE 5;AUTOMNE;DROIT EN LANGUE FRANCAISE;VERSION 15;LFV15DEFAFFAS5
DROIT DES AFFAIRES;;AFF;SEMESTRE 6;PRINTEMPS;DROIT EN LANGUE FRANCAISE;VERSION 15;LFV15DEFAFFPS6
TRONC COMMUN;;TC;SEMESTRE 1;AUTOMNE;DROIT EN LANGUE ARABE;VERSION 15;LFV15DEATCAS1
